Country Name,Year,Birth Rate,GDP,Unemployment Rate,Female Labour Force,Health/GDP
Romania,1988,2.3,40424528301.8868,3.7,43.2605595330065,4.444
Serbia,1988,1.832,17921892655.3672,12.26,43.700407664294,5.689
Slovenia,1988,1.63,19832029087.1272,7.836,46.361502473853,5.689
Sweden,1988,1.96,206688963474.344,2.35,47.7987299846658,6.256
Tajikistan,1988,5.57,2629395066.27017,3.2,36.2774943756906,2.511
Ukraine,1988,2.02,74703517902.6642,14.8,49.4843331984143,2.511
Uzbekistan,1988,4.28,10722799639.3121,5.2,38.2682056195572,4.715
Albania,1989,2.942,2253090000.0,6.721,41.1321113672118,4.715
Armenia,1989,2.706,2256863448.77086,38.4,47.7651733712082,4.715
Austria,1989,1.45,132584448257.93,2.348,40.926401267308,4.715
